ua,Phase_Shift_1,Phase_Shift_2,Phase_Shift_3,Phase_Shift_4,Phase_Shift_5,Phase_Shift_6,Phase_Shift_7,Phase_Shift_8,Phase_Shift_9,Phase_Shift_10,Phase_Shift_11,Va,Vr
2.758554819,-0.123193659,-0.274444427,-0.38635534,-0.602929926,-0.835715028,-1.141231326,-1.35650929,-1.525761416,-1.666274033,-1.786887433,-1.892802076,-86.63853608,110.5895495
2.614218239,-0.109415404,-0.243558538,-0.342549603,-0.53315335,-0.73615138,-0.999044486,-1.181706362,-1.323796926,-1.440756698,-1.540436613,-1.62742828,-43.21835718,71.74363176
1.919043116,-0.176217648,-0.391334016,-0.548802276,-0.84727685,-1.156453819,-1.543723949,-1.80624858,-2.007420334,-2.171166677,-2.30964207,-2.429814462,-60.29472315,69.07275158
3.356558573,-0.083882263,-0.187078481,-0.263722224,-0.413122808,-0.575814118,-0.793354357,-0.949595245,-1.074188797,-1.178807197,-1.26946868,-1.349744231,-48.92680481,197.0942428
3.429543005,-0.096580529,-0.215425094,-0.303726343,-0.475977346,-0.66377631,-0.915203984,-1.095858665,-1.239827798,-1.360556371,-1.4649957,-1.557282562,-97.61515032,113.87364
2.578233041,-0.131765073,-0.293400181,-0.412805151,-0.643195159,-0.889560711,-1.210787811,-1.435860247,-1.612206163,-1.758282088,-1.883486433,-1.993321891,-80.37736001,130.5161132
1.822883924,2.974527418,2.769490563,2.617850906,2.324517544,2.009978198,1.602968985,1.323759666,1.108882766,0.933312996,0.784728537,0.655904016,61.03762044,168.7859239
3.74579855,-0.075181438,-0.167735933,-0.236561416,-0.371035891,-0.518069146,-0.715707552,-0.85825736,-0.972143299,-1.067807883,-1.150665083,-1.22394615,-58.08764386,111.4213748
3.254512131,3.032615721,2.898568836,2.799003512,2.604957348,2.393862804,2.112585849,1.911890331,1.753023232,1.620626241,1.506733499,1.406596413,92.37427863,251.4434513
1.992077706,-0.143317712,-0.318387506,-0.446727688,-0.690894714,-0.946116874,-1.270991131,-1.495223792,-1.669822791,-1.814129317,-1.937827763,-2.046456325,-29.57124104,166.9848107
2.325179792,-0.156661123,-0.348652076,-0.490232162,-0.762516061,-1.052135648,-1.427793055,-1.690489437,-1.896452146,-2.067357763,-2.214200208,-2.343377363,-94.51588758,266.8139684
2.02053191,-0.18000874,-0.399966444,-0.561263922,-0.867970339,-1.187163545,-1.587997611,-1.858826061,-2.064957328,-2.231250865,-2.370394562,-2.489738057,-88.27041508,-101.2337401
3.354097668,-0.067020073,-0.149548176,-0.210950011,-0.331071218,-0.462826654,-0.641210797,-0.771342433,-0.876544425,-0.965954302,-1.044272585,-1.114287038,-16.48854361,247.0153688
2.534799661,-0.10580789,-0.235393668,-0.330836532,-0.513915775,-0.707528494,-0.955550247,-1.125730581,-1.256721595,-1.363545548,-1.453820646,-1.531989869,-34.60766232,33.65098112
3.440708025,0.362554954,0.628777208,0.716020655,0.747119819,0.685012374,0.538733204,0.412659599,0.305191265,0.211762824,0.129060416,0.054779396,54.59858877,288.7348328
2.654151059,-0.118383146,-0.263661226,-0.371064435,-0.578612069,-0.801196923,-1.092741284,-1.298111156,-1.459786872,-1.594302318,-1.710073836,-1.812031156,-58.81186711,204.7485645
3.612056618,-0.061636405,-0.137461745,-0.193771607,-0.303500573,-0.422867168,-0.582010617,-0.695713247,-0.785848231,-0.861062958,-0.925834519,-0.982828943,-26.12976584,61.79086563
1.097908448,0.683924072,0.680611831,0.538760819,0.193960037,-0.180527113,-0.623878774,-0.917421193,-1.145234956,-1.329119083,-1.482608017,-1.616025663,20.37271245,117.9750563
2.432765468,0.223890643,0.412554622,0.482124102,0.50141434,0.429716587,0.271715633,0.14037022,0.031277276,-0.061656399,-0.142574636,-0.214250027,23.9258399,103.6830772
3.930489609,0.214343162,0.425465529,0.532631474,0.642276187,0.666892501,0.62016281,0.556520741,0.495172537,0.438673753,0.386994312,0.339614759,32.81506373,113.4848522
2.0378986,0.143729445,0.251851541,0.272674608,0.20854983,0.052898353,-0.211608792,-0.41742678,-0.585604896,-0.728274295,-0.852610696,-0.963119831,36.111714,290.6822916
1.313310165,-0.21643756,-0.480038036,-0.672118091,-1.032778941,-1.400304915,-1.857054079,-2.172827491,-2.420306506,-2.624775169,-2.80003626,-2.954457101,-17.64007065,242.1545213
1.412933203,0.021784327,0.007276272,-0.043213306,-0.219645976,-0.475659829,-0.846633309,-1.115638732,-1.330497781,-1.510048263,-1.664489382,-1.800596026,21.08134495,227.2708409
3.907632315,-0.032844723,-0.073577571,-0.104284757,-0.165907862,-0.236725622,-0.339426059,-0.419847074,-0.488289824,-0.548768173,-0.603380924,-0.653407406,9.761868063,239.2872577
1.981908154,-0.040686047,-0.095768505,-0.142931559,-0.253799847,-0.401447101,-0.630478864,-0.809156618,-0.957044561,-1.083781535,-1.195012874,-1.294361147,14.95263831,211.4539818
0.538654527,2.556840327,1.864249557,1.380713158,0.526278247,-0.258429989,-1.027352677,-1.483611094,-1.902697377,-2.277164367,-2.579512386,-2.811020488,45.85412907,168.432379
2.780877875,-0.124005586,-0.276315753,-0.389098289,-0.607703509,-0.843407984,-1.154422448,-1.375087864,-1.549679171,-1.695489002,-1.821355961,-1.932478333,-89.27323263,283.7973357
1.873292447,-0.125960038,-0.279696392,-0.392238695,-0.60592286,-0.828931889,-1.113226316,-1.310117746,-1.463836911,-1.591128217,-1.700349726,-1.796284662,-12.84840126,118.7413357
3.866420447,-0.067271321,-0.15009043,-0.211679667,-0.332023825,-0.463608381,-0.640417383,-0.76781609,-0.869457832,-0.954701691,-1.028406936,-1.09347785,-46.72063319,70.59240109
