ua,Phase_Shift_1,Phase_Shift_2,Phase_Shift_3,Phase_Shift_4,Phase_Shift_5,Phase_Shift_6,Phase_Shift_7,Phase_Shift_8,Phase_Shift_9,Phase_Shift_10,Phase_Shift_11,Va,Vr
2.867274996,2.8869027,2.672339773,2.518247906,2.224502996,1.920533057,1.546181253,1.298198557,1.110975301,0.959792001,0.832580012,0.722489494,81.85488231,288.8278233
2.722760291,-0.144767162,-0.196228229,-0.230414837,-0.308545122,-0.409593003,-0.566273221,-0.691939219,-0.798966083,-0.892875377,-0.976920305,-1.053197302,11.37953947,265.2470414
3.130248024,-0.167335533,-0.253020658,-0.31235977,-0.434752399,-0.574933875,-0.767474523,-0.907832144,-1.020726746,-1.116070033,-1.199088738,-1.272903621,-25.35848308,191.9274257
1.338125713,0.741006149,0.838012596,0.731565291,0.456313526,0.152940781,-0.225232431,-0.478211447,-0.671103404,-0.82799292,-0.960691675,-1.075896702,22.44073099,110.4384124
3.37341717,-0.145271591,-0.19694471,-0.230461587,-0.304232345,-0.395059706,-0.529290783,-0.633792052,-0.721784595,-0.798684871,-0.867481495,-0.930005192,3.257404313,270.9500097
1.974112254,2.926270622,2.768402825,2.654978788,2.432221556,2.192985795,1.889115852,1.684941709,1.530884633,1.407406667,1.304614414,1.216750689,28.64539421,47.39611444
0.79034535,2.603279479,2.045397534,1.688864244,1.115092375,0.616876287,0.074192115,-0.259746585,-0.502086648,-0.692045809,-0.847885595,-0.979642909,21.42482605,60.80474304
3.172538078,2.961406393,2.856074226,2.781775408,2.630889556,2.461243914,2.233543522,2.072205841,1.945866641,1.841814382,1.753333626,1.676391396,40.25057784,64.41076165
3.3446943,-0.114348495,-0.11783043,-0.115080131,-0.122564481,-0.149877571,-0.214526003,-0.278468469,-0.338444001,-0.394069184,-0.445677316,-0.493693808,16.89856632,149.0488579
2.906379491,-0.156013934,-0.22443798,-0.270881234,-0.369765231,-0.48769795,-0.657475815,-0.786929845,-0.894437856,-0.987446278,-1.069980885,-1.144492128,0.44341306,273.7822571
1.828813916,-0.269057372,-0.505044874,-0.675902279,-1.004518201,-1.351443909,-1.793561712,-2.097719965,-2.333782317,-2.528371465,-2.69470127,-2.840403609,-79.56090207,226.40861
2.497382879,-0.212646813,-0.366821046,-0.477948672,-0.698603471,-0.941162934,-1.262548243,-1.490315065,-1.670240955,-1.820340782,-1.949804223,-2.064043154,-71.69347102,284.6049033
1.29902745,2.685553011,2.220066057,1.915029004,1.413647215,0.97274389,0.488501177,0.185777946,-0.037969919,-0.216685555,-0.365999999,-0.494464686,33.99744862,114.7558623
1.65891102,-0.281305618,-0.534056465,-0.71612491,-1.06181624,-1.419979707,-1.866456635,-2.167166636,-2.396836322,-2.583620518,-2.741389811,-2.878107979,-65.75175938,79.78790957
0.880543086,2.485267637,1.800970765,1.373780637,0.690262792,0.084904047,-0.605671175,-1.054091063,-1.393504477,-1.669062708,-1.902112182,-2.104588096,44.53590174,233.7259257
2.267976723,-0.212859605,-0.367087291,-0.477884424,-0.696608291,-0.934914409,-1.247505341,-1.467372622,-1.640399307,-1.784437564,-1.908514654,-2.01791078,-43.73068003,234.0640391
1.682457854,-0.292693808,-0.562078513,-0.756844807,-1.127661581,-1.513906522,-1.999222028,-2.328754022,-2.58198235,-2.78895386,-2.964526906,-3.117251082,-91.03494105,104.6545273
1.577948995,0.024162617,0.171451077,0.218322191,0.179467619,0.04563237,-0.178004822,-0.344517427,-0.476005541,-0.584531939,-0.676933818,-0.757371259,13.41007315,63.20715128
1.340721269,-0.305751198,-0.590634464,-0.792895747,-1.166339938,-1.539827229,-1.99072555,-2.287593524,-2.511443118,-2.691904573,-2.843319138,-2.973816818,-36.77872054,74.96222694
3.719272952,-0.157852091,-0.228923856,-0.277096254,-0.3780744,-0.495537595,-0.658560514,-0.777895468,-0.873801458,-0.954525855,-1.024503903,-1.086412296,-36.34401429,85.11747491
3.098876221,-0.188721186,-0.307122173,-0.391490775,-0.562232903,-0.754250983,-1.014182672,-1.201272799,-1.350223165,-1.474934501,-1.582663731,-1.677748389,-82.0301111,145.6724036
1.496502505,-0.287457694,-0.548066785,-0.734730829,-1.085669387,-1.445298901,-1.890978089,-2.191540715,-2.422211589,-2.610895756,-2.771218908,-2.910962687,-42.88462776,150.6110373
3.069204601,0.989192002,1.18762977,1.160719199,1.034850332,0.868865867,0.635144277,0.465211122,0.329625331,0.21590714,0.117505694,0.030503128,58.24425639,296.1460682
2.626299254,-0.12069458,-0.134775364,-0.140893129,-0.167540658,-0.217879574,-0.313775976,-0.398367708,-0.472928917,-0.539266399,-0.598952808,-0.653173003,9.646516449,88.76451913
3.888859972,-0.156765816,-0.226147088,-0.27300932,-0.371400375,-0.485935981,-0.644634629,-0.760300428,-0.852735454,-0.930037446,-0.996584186,-1.055028851,-45.27656183,-2.243340119
3.534572481,-0.158423873,-0.230410019,-0.279329561,-0.381947659,-0.501645915,-0.668873102,-0.792517982,-0.892903242,-0.978249801,-1.052954202,-1.119659155,-24.51876326,211.347368
2.813268848,3.030918162,3.024726067,3.018713827,2.970845921,2.867969023,2.669628199,2.498822332,2.35166288,2.222985067,2.108793461,2.006199558,98.14017071,212.0039234
3.776045807,2.974929129,2.890145977,2.831125566,2.708005729,2.564419372,2.362575743,2.212514979,2.090572549,1.987102304,1.896902185,1.816791296,76.18922984,155.6490602
1.794325059,-0.264474198,-0.49345081,-0.658577336,-0.974512198,-1.304689882,-1.718514487,-1.997453561,-2.210046763,-2.382388168,-2.527414918,-2.652592256,-67.21728621,27.0261359
1.398606689,2.664098547,2.172795078,1.851467023,1.322049688,0.851710685,0.326090464,-0.008685083,-0.259757522,-0.462749888,-0.6341586,-0.783043662,49.69026583,222.2338902
3.434166695,2.918970178,2.75082637,2.630456144,2.397063575,2.15054193,1.842007558,1.636265747,1.48111162,1.356396224,1.252076005,1.162372581,58.67356688,146.3261294
1.436348383,-0.282823332,-0.536193163,-0.716764516,-1.054142509,-1.39688003,-1.817673582,-2.099221048,-2.314125332,-2.489143887,-2.637287441,-2.765969656,-31.92931856,110.5274785
1.871903056,-0.240823264,-0.435838529,-0.576436962,-0.849047874,-1.139920513,-1.515348572,-1.777286729,-1.982963401,-2.154181088,-2.301779173,-2.432039336,-39.10643372,299.9229335
1.764869913,2.686309888,2.226091116,1.927644314,1.439141841,1.006580599,0.523865747,0.216818606,-0.01336045,-0.199596812,-0.357084574,-0.494138492,59.90343966,290.2754285
2.638142498,0.482361643,0.851366614,0.899607932,0.832943973,0.687016168,0.459441792,0.289551206,0.15332259,0.039032696,-0.059766156,-0.146996607,43.04010694,208.7364365
2.015394661,-0.187256775,-0.302542367,-0.383283928,-0.542636542,-0.714920512,-0.937414498,-1.091405332,-1.211146743,-1.309760324,-1.393877146,-1.467355391,-10.14191955,62.94330713
2.453765963,-0.052548734,0.036655883,0.100478332,0.177799827,0.199700023,0.163001401,0.110422757,0.060039034,0.014342788,-0.026754302,-0.063793874,9.45607925,29.50898564
3.853476521,-0.14125723,-0.186468421,-0.214733615,-0.277265312,-0.353778789,-0.464507752,-0.54854321,-0.617921288,-0.677610868,-0.730350928,-0.777799019,-7.215832472,126.8190696
2.612709654,2.856100076,2.599884627,2.418659415,2.085567654,1.757550259,1.372552005,1.126002971,0.943061673,0.796859828,0.674688836,0.569491105,60.68470663,198.7425834
2.753917917,-0.186461882,-0.301112789,-0.382154912,-0.544660341,-0.724122047,-0.959853187,-1.123486454,-1.249703239,-1.352350354,-1.438630033,-1.512821236,-46.94421591,-30.10449852
3.554628018,-0.1752594,-0.27320305,-0.342058605,-0.483301288,-0.644530423,-0.865736331,-1.02657,-1.155324994,-1.263428144,-1.356932288,-1.439485508,-84.46412681,33.96996082
1.690439554,-0.278695792,-0.528088834,-0.708228004,-1.052304757,-1.412586523,-1.869129368,-2.182727465,-2.426366389,-2.627565179,-2.799898234,-2.951172711,-64.94671554,282.7787139
1.630859454,-0.273083979,-0.513562055,-0.685949801,-1.011400491,-1.344873287,-1.753029833,-2.021785353,-2.222908122,-2.38338649,-2.51648957,-2.629826052,-51.76382637,-3.252350786
2.92341677,-0.191839161,-0.314880743,-0.402653406,-0.579444229,-0.77692448,-1.042001226,-1.231201985,-1.380899871,-1.505620006,-1.612911153,-1.707269354,-71.75993852,103.5960211
